,Model,Company,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
50,Audi A4 2.0,Audi,Kochi,2015,13648.0,Diesel,Automatic,First,17.11,1968.0,174.33,5,21.43
51,Maruti Swift LDI,Maruti,Delhi,2014,52000.0,Diesel,Manual,First,22.9,1248.0,74.0,5,4.25
52,Maruti Swift Ldi,Maruti,Kolkata,2014,53000.0,Diesel,Manual,First,17.8,1248.0,75.0,5,3.3
53,Maruti Swift VDI,Maruti,Delhi,2013,65650.0,Diesel,Manual,First,28.4,1248.0,74.0,5,3.85
54,Hyundai Grand i10,Hyundai,Chennai,2015,54000.0,Petrol,Manual,Third,18.9,1197.0,82.0,5,3.6
55,Volkswagen Vento 2013-2015,Volkswagen,Kolkata,2015,39000.0,Petrol,Manual,First,15.04,1598.0,103.2,5,3.99
56,Renault KWID RXT,Renault,Kochi,2017,16542.0,Petrol,Manual,First,25.17,799.0,53.3,5,3.3
57,Hyundai i10 Asta,Hyundai,Kolkata,2010,32000.0,Petrol,Manual,First,20.36,1197.0,78.9,5,2.07
58,Nissan X-Trail SLX,Nissan,Hyderabad,2010,121812.0,Diesel,Automatic,First,13.29,1995.0,147.6,5,7.75
59,Maruti Zen Estilo,Maruti,Hyderabad,2010,39300.0,Petrol,Manual,First,18.2,998.0,67.1,5,2.25
60,Toyota Innova Crysta,Toyota,Mumbai,2017,22000.0,Diesel,Manual,First,13.68,2393.0,147.8,8,16.5
61,Ford Figo Diesel,Ford,Bangalore,2010,72000.0,Diesel,Manual,First,20.0,1399.0,68.0,5,2.75
62,Mercedes-Benz New C-Class,Mercedes-Benz,Delhi,2015,58000.0,Petrol,Automatic,First,11.74,1796.0,186.0,5,26.7
63,Mercedes-Benz New C-Class,Mercedes-Benz,Pune,2011,65000.0,Diesel,Manual,Second,15.8,2148.0,170.0,5,10.0
64,Tata Indica V2,Tata,Chennai,2016,178000.0,Diesel,Manual,First,25.0,1396.0,69.0,5,2.5
65,Audi A4 2.0,Audi,Jaipur,2012,65664.0,Diesel,Automatic,First,16.55,1968.0,140.0,5,13.5
66,Honda City ZX,Honda,Mumbai,2007,63000.0,Petrol,Automatic,Second,16.4,1497.0,78.0,5,1.85
67,Mercedes-Benz C-Class Progressive,Mercedes-Benz,Coimbatore,2019,15369.0,Diesel,Automatic,First,0.0,1950.0,194.0,5,35.67
68,Maruti Ertiga SHVS,Maruti,Pune,2016,63000.0,Diesel,Manual,First,24.52,1248.0,88.5,7,8.15
69,Hyundai Creta 1.4,Hyundai,Mumbai,2018,13000.0,Diesel,Manual,First,22.1,1396.0,88.7,5,10.5
70,Porsche Cayenne 2009-2014,Porsche,Mumbai,2008,73000.0,Petrol,Automatic,First,8.5,4806.0,500.0,5,14.5
71,Mahindra XUV500 W8,Mahindra,Mumbai,2015,55729.0,Diesel,Manual,First,15.1,2179.0,140.0,7,9.65
72,Hyundai i10 Sportz,Hyundai,Kochi,2012,45178.0,Petrol,Automatic,First,16.95,1197.0,78.9,5,3.48
73,Nissan Terrano XV,Nissan,Kochi,2015,56066.0,Diesel,Manual,First,19.64,1461.0,108.5,5,6.92
74,Honda Brio VX,Honda,Coimbatore,2016,37300.0,Petrol,Automatic,Second,16.5,1198.0,86.8,5,6.46
75,Audi A6 2.0,Audi,Delhi,2014,56000.0,Diesel,Automatic,Second,18.53,1968.0,187.74,5,29.5
76,Ford Fiesta 1.4,Ford,Jaipur,2008,111111.0,Diesel,Manual,First,17.8,1399.0,88.0,5,2.0
77,Toyota Innova 2.0,Toyota,Chennai,2006,230000.0,Petrol,Manual,Third,12.4,1998.0,132.0,8,4.5
78,Toyota Innova 2.5,Toyota,Hyderabad,2012,104000.0,Diesel,Manual,First,12.8,2494.0,102.0,7,11.75
79,Hyundai Santro Xing,Hyundai,Hyderabad,2005,87591.0,Petrol,Manual,First,0.0,1086.0,88.0,5,1.3
80,Maruti Swift VDI,Maruti,Jaipur,2012,95100.0,Diesel,Manual,First,22.9,1248.0,74.0,5,3.75
81,Tata Zest Revotron,Tata,Pune,2017,70000.0,Petrol,Manual,First,17.57,1193.0,88.7,5,4.5
82,Honda Amaze SX,Honda,Kochi,2016,54944.0,Petrol,Manual,First,18.0,1198.0,86.7,5,4.82
83,Ford Figo Diesel,Ford,Hyderabad,2012,70337.0,Diesel,Manual,First,20.0,1399.0,68.0,5,2.8
84,Maruti Ritz VDi,Maruti,Jaipur,2013,99638.0,Diesel,Manual,First,23.2,1248.0,73.94,5,3.11
85,Honda City i,Honda,Delhi,2009,52000.0,Petrol,Manual,First,17.8,1497.0,117.3,5,3.25
86,BMW 5 Series,BMW,Delhi,2011,75000.0,Diesel,Automatic,Second,16.73,1995.0,218.0,5,13.9
87,Hyundai i10 Sportz,Hyundai,Pune,2009,95980.0,Petrol,Manual,First,20.36,1197.0,78.9,5,2.25
88,Hyundai Grand i10,Hyundai,Bangalore,2016,16000.0,Petrol,Manual,First,18.9,1197.0,82.0,5,5.75
89,Hyundai Santro Xing,Hyundai,Hyderabad,2007,73745.0,Petrol,Manual,First,17.0,1086.0,88.0,5,2.1
90,Honda Amaze SX,Honda,Mumbai,2016,18949.0,Petrol,Manual,First,17.8,1198.0,86.7,5,5.0
91,Toyota Fortuner 4x2,Toyota,Delhi,2014,107000.0,Diesel,Manual,First,13.0,2982.0,168.5,7,16.5
92,Audi A6 2011-2015,Audi,Coimbatore,2018,48367.0,Diesel,Automatic,First,17.68,1968.0,174.33,5,39.58
93,Ford Ecosport 1.5,Ford,Delhi,2013,57000.0,Diesel,Manual,First,22.7,1498.0,89.84,5,5.5
94,Mahindra XUV500 W8,Mahindra,Delhi,2014,58000.0,Diesel,Manual,First,15.1,2179.0,140.0,7,8.1
95,Honda Amaze SX,Honda,Kolkata,2015,30000.0,Diesel,Manual,First,25.8,1498.0,98.6,5,3.5
96,Volkswagen Polo Diesel,Volkswagen,Kolkata,2013,34212.0,Diesel,Manual,First,22.07,1199.0,73.9,5,2.79
97,Hyundai Verna Transform,Hyundai,Ahmedabad,2010,70002.0,Diesel,Manual,First,16.2,1493.0,110.0,5,3.45
98,Maruti Wagon R,Maruti,Bangalore,2016,62000.0,Petrol,Manual,First,18.9,998.0,67.1,5,4.45
99,Volkswagen Polo Petrol,Volkswagen,Delhi,2010,62001.0,Petrol,Manual,First,15.26,1598.0,103.5,5,2.65
100,Hyundai i20 1.4,Hyundai,Pune,2011,78958.0,Diesel,Manual,Second,23.0,1396.0,90.0,5,3.8
101,Hyundai i20 Asta,Hyundai,Mumbai,2014,30180.0,Petrol,Manual,First,18.5,1197.0,82.85,5,4.65
102,Datsun GO Plus,Datsun,Pune,2017,32851.0,Petrol,Manual,First,19.83,1198.0,67.0,7,3.95
103,Audi A4 3.0,Audi,Kolkata,2010,30000.0,Diesel,Automatic,First,14.94,2967.0,241.4,5,9.8
104,Hyundai i20 2015-2017,Hyundai,Pune,2009,66000.0,Petrol,Manual,Second,17.0,1197.0,80.0,5,2.7
105,Maruti Omni 5,Maruti,Coimbatore,2010,93850.0,Petrol,Manual,First,14.0,796.0,35.0,5,2.41
106,Toyota Etios Liva,Toyota,Ahmedabad,2014,53000.0,Petrol,Manual,First,17.71,1197.0,78.9,5,3.9
107,Jaguar XF 3.0,Jaguar,Hyderabad,2011,78000.0,Diesel,Automatic,Second,14.74,2993.0,270.9,5,24.0
108,Mahindra XUV500 W8,Mahindra,Delhi,2012,65000.0,Diesel,Manual,Second,16.0,2179.0,140.0,7,5.75
109,Hyundai Verna 1.6,Hyundai,Kolkata,2014,40000.0,Diesel,Automatic,First,22.32,1582.0,126.32,5,5.25
110,Toyota Innova Crysta,Toyota,Mumbai,2017,30000.0,Diesel,Automatic,First,11.36,2755.0,171.5,7,19.25
111,Maruti Eeco 5,Maruti,Coimbatore,2017,38053.0,Petrol,Manual,First,15.1,1196.0,73.0,5,3.91
112,Tata Nano Twist,Tata,Bangalore,2014,25500.0,Petrol,Manual,First,25.4,624.0,37.5,4,2.15
113,BMW 3 Series,BMW,Mumbai,2015,56087.0,Diesel,Automatic,First,22.69,1995.0,190.0,5,20.75
114,Honda Civic 2006-2010,Honda,Delhi,2010,71088.0,Petrol,Manual,First,13.5,1799.0,130.0,5,3.35
115,Toyota Innova 2.5,Toyota,Ahmedabad,2014,55000.0,Diesel,Manual,First,12.99,2494.0,100.6,7,11.11
116,Volvo V40 Cross,Volvo,Bangalore,2014,32700.0,Diesel,Automatic,First,23.3,1984.0,150.0,5,20.0
117,Nissan Micra XV,Nissan,Coimbatore,2016,39882.0,Petrol,Automatic,First,19.15,1198.0,75.94,5,6.55
118,BMW 5 Series,BMW,Mumbai,2009,128000.0,Petrol,Automatic,First,10.8,2497.0,215.0,5,7.0
119,Maruti Vitara Brezza,Maruti,Mumbai,2016,55000.0,Diesel,Manual,First,24.3,1248.0,88.5,5,7.5
120,Hyundai Santro Xing,Hyundai,Mumbai,2005,102000.0,Petrol,Manual,Second,17.0,1086.0,88.0,5,0.85
121,Mercedes-Benz B Class,Mercedes-Benz,Pune,2014,53753.0,Diesel,Automatic,Second,15.0,2143.0,107.3,5,16.75
122,Hyundai Verna CRDi,Hyundai,Kolkata,2018,10250.0,Diesel,Manual,First,22.0,1582.0,126.2,5,10.95
123,Maruti Wagon R,Maruti,Pune,2011,43874.0,Petrol,Manual,First,18.9,998.0,67.1,5,2.45
124,Tata Nano XTA,Tata,Coimbatore,2017,32684.0,Petrol,Automatic,First,21.9,624.0,37.48,4,3.23
125,Mahindra Scorpio VLX,Mahindra,Kolkata,2014,42000.0,Diesel,Manual,First,12.05,2179.0,120.0,8,7.75
126,Mercedes-Benz New C-Class,Mercedes-Benz,Kolkata,2009,28352.0,Petrol,Automatic,First,11.7,1796.0,178.0,5,9.35
127,Maruti Wagon R,Maruti,Pune,2013,89900.0,CNG,Manual,First,26.6,998.0,58.16,5,3.25
128,Honda CR-V 2.4,Honda,Bangalore,2007,47700.0,Petrol,Manual,Second,10.8,2354.0,152.0,5,5.25
129,Volkswagen Vento 1.5,Volkswagen,Pune,2015,55000.0,Diesel,Automatic,First,21.21,1498.0,103.2,5,7.25
130,Maruti Ciaz VXi,Maruti,Kochi,2017,44285.0,Petrol,Manual,First,20.73,1373.0,91.1,5,7.47
131,Mahindra XUV500 AT,Mahindra,Jaipur,2016,54000.0,Diesel,Automatic,First,16.0,2179.0,140.0,7,13.25
132,Maruti Ritz VXI,Maruti,Coimbatore,2016,30232.0,Petrol,Manual,First,21.1,1197.0,85.8,5,5.81
133,Maruti Alto K10,Maruti,Hyderabad,2014,88500.0,Petrol,Manual,First,24.07,998.0,67.1,5,2.6
134,Mercedes-Benz SLC 43,Mercedes-Benz,Kolkata,2017,13372.0,Petrol,Automatic,First,19.0,2996.0,362.07,2,54.0
135,Hyundai Verna VTVT,Hyundai,Kochi,2019,12645.0,Petrol,Automatic,First,17.0,1591.0,121.3,5,11.5
136,Maruti Alto LXi,Maruti,Chennai,2010,94385.0,Petrol,Manual,Second,19.7,796.0,46.3,5,1.6
137,BMW 1 Series,BMW,Coimbatore,2015,31821.0,Diesel,Automatic,First,20.58,1995.0,143.0,5,17.22
138,Honda Jazz 1.2,Honda,Mumbai,2015,12000.0,Petrol,Automatic,First,19.0,1199.0,88.7,5,6.0
139,Honda Civic 2006-2010,Honda,Delhi,2012,88578.0,Petrol,Manual,First,13.5,1799.0,130.0,5,3.95
140,Mercedes-Benz New C-Class,Mercedes-Benz,Kochi,2014,44965.0,Diesel,Automatic,First,19.27,2143.0,170.0,5,17.95
141,Honda Amaze SX,Honda,Kolkata,2014,45044.0,Diesel,Manual,First,25.8,1498.0,98.6,5,3.7
142,Maruti Swift VVT,Maruti,Kochi,2016,34204.0,Petrol,Manual,First,22.0,1197.0,81.8,5,5.43
143,Hyundai Santro Xing,Hyundai,Kochi,2008,80759.0,Petrol,Manual,Third,17.0,1086.0,88.0,5,1.67
144,Toyota Fortuner 3.0,Toyota,Coimbatore,2012,91235.0,Diesel,Manual,First,11.5,2982.0,171.0,7,13.49
145,Chevrolet Beat LT,Chevrolet,Pune,2014,38800.0,Petrol,Manual,First,18.6,1199.0,76.8,5,2.85
146,Skoda Rapid 1.5,Skoda,Chennai,2013,83000.0,Diesel,Manual,First,21.14,1498.0,103.52,5,4.75
147,Maruti Ciaz 1.4,Maruti,Kochi,2018,41283.0,Petrol,Manual,First,20.73,1373.0,91.1,5,9.9
148,Audi RS5 Coupe,Audi,Mumbai,2013,23000.0,Petrol,Automatic,First,11.05,2894.0,444.0,4,37.0
149,BMW 3 Series,BMW,Mumbai,2014,48000.0,Diesel,Automatic,First,21.76,1995.0,190.0,5,26.5
150,Audi A4 2.0,Audi,Coimbatore,2015,48214.0,Diesel,Automatic,First,17.11,1968.0,174.33,5,23.32
151,Maruti Swift VDI,Maruti,Chennai,2016,35000.0,Diesel,Manual,First,22.9,1248.0,74.0,5,6.25
152,Mercedes-Benz S Class,Mercedes-Benz,Kolkata,2010,35277.0,Petrol,Automatic,First,7.81,5461.0,362.9,5,30.0
153,Skoda Rapid 1.5,Skoda,Coimbatore,2016,54620.0,Diesel,Automatic,First,21.66,1498.0,103.52,5,9.86
154,Skoda Superb Elegance,Skoda,Pune,2012,136997.0,Diesel,Automatic,First,17.2,1968.0,138.1,5,8.5
155,Hyundai EON Magna,Hyundai,Kochi,2019,14322.0,Petrol,Manual,First,21.1,814.0,55.2,5,4.23
156,Volkswagen Polo Diesel,Volkswagen,Jaipur,2012,65634.0,Diesel,Manual,First,22.07,1199.0,73.9,5,3.5
157,Datsun GO NXT,Datsun,Kolkata,2016,6000.0,Petrol,Manual,First,20.63,1198.0,67.06,5,2.5
158,Honda Brio S,Honda,Kolkata,2013,33280.0,Petrol,Manual,First,19.4,1198.0,86.8,5,2.39
159,Mercedes-Benz B Class,Mercedes-Benz,Delhi,2013,29000.0,Petrol,Automatic,First,14.8,1595.0,120.7,5,11.25
160,Honda City i,Honda,Kochi,2015,42831.0,Diesel,Manual,First,26.0,1498.0,98.6,5,7.11
161,Toyota Innova 2.5,Toyota,Ahmedabad,2016,90000.0,Diesel,Manual,First,12.99,2494.0,100.6,7,10.9
162,Maruti Swift VXI,Maruti,Ahmedabad,2017,24005.0,Petrol,Manual,First,20.4,1197.0,81.8,5,6.2
163,Mahindra XUV500 W8,Mahindra,Mumbai,2012,32792.0,Diesel,Manual,First,15.1,2179.0,140.0,7,7.9
164,Ford Ecosport 1.5,Ford,Kochi,2014,147898.0,Diesel,Manual,First,22.7,1498.0,89.84,5,4.42
165,Toyota Fortuner 4x2,Toyota,Mumbai,2012,131765.0,Diesel,Manual,First,13.0,2982.0,168.5,7,13.5
166,Volkswagen Vento 1.5,Volkswagen,Chennai,2013,65000.0,Diesel,Automatic,First,21.5,1498.0,108.5,5,6.25
167,Ford Figo Diesel,Ford,Jaipur,2010,66123.0,Diesel,Manual,Second,20.0,1399.0,68.0,5,2.1
168,BMW X5 xDrive,BMW,Mumbai,2015,41000.0,Diesel,Automatic,First,15.3,2993.0,258.0,5,45.0
169,Mercedes-Benz New C-Class,Mercedes-Benz,Coimbatore,2017,23550.0,Diesel,Automatic,First,19.27,2143.0,167.62,5,33.66
170,Honda Brio V,Honda,Bangalore,2012,45000.0,Petrol,Manual,Second,19.4,1198.0,86.8,5,3.65
171,Hyundai i10 Magna,Hyundai,Delhi,2013,60000.0,Petrol,Manual,First,20.36,1197.0,78.9,5,2.75
172,Mercedes-Benz GLC 220,Mercedes-Benz,Bangalore,2016,44414.0,Diesel,Automatic,First,17.9,2143.0,170.0,5,42.5
173,Hyundai Grand i10,Hyundai,Kolkata,2019,1000.0,Petrol,Manual,First,18.9,1197.0,81.86,5,6.5
174,Audi A6 2011-2015,Audi,Mumbai,2012,62500.0,Diesel,Automatic,Second,17.68,1968.0,174.33,5,19.0
175,Volkswagen Vento Petrol,Volkswagen,Mumbai,2013,21000.0,Petrol,Automatic,Second,14.4,1598.0,103.6,5,4.45
176,Mini Countryman Cooper,Mini,Jaipur,2017,8525.0,Diesel,Automatic,Second,16.6,1998.0,112.0,5,23.0
177,Hyundai i20 Asta,Hyundai,Bangalore,2014,29000.0,Diesel,Manual,First,22.54,1396.0,88.73,5,8.35
178,Audi A6 2011-2015,Audi,Mumbai,2014,40000.0,Diesel,Automatic,First,17.68,1968.0,174.33,5,22.95
179,Chevrolet Beat Diesel,Chevrolet,Jaipur,2012,88000.0,Diesel,Manual,First,25.44,936.0,57.6,5,1.5
180,Skoda Superb Elegance,Skoda,Kochi,2012,53537.0,Petrol,Automatic,First,13.7,1798.0,157.75,5,6.89
181,Ford Fiesta 1.4,Ford,Chennai,2006,216000.0,Diesel,Manual,Second,17.8,1399.0,68.0,5,1.45
182,BMW 5 Series,BMW,Hyderabad,2014,51000.0,Diesel,Automatic,First,22.48,1995.0,190.0,5,33.5
183,Chevrolet Optra Magnum,Chevrolet,Jaipur,2007,118500.0,Petrol,Manual,First,12.9,1598.0,102.5,5,1.25
184,Volkswagen Polo Diesel,Volkswagen,Hyderabad,2012,63000.0,Diesel,Manual,First,22.07,1199.0,73.9,5,4.2
185,Renault Lodgy 110PS,Renault,Mumbai,2015,25000.0,Diesel,Manual,First,19.98,1461.0,108.5,8,6.75
186,Mercedes-Benz E-Class E250,Mercedes-Benz,Bangalore,2014,37382.0,Diesel,Automatic,First,13.0,2143.0,201.1,5,32.0
187,Maruti Baleno Alpha,Maruti,Kochi,2017,24773.0,Petrol,Manual,First,21.4,1197.0,83.1,5,7.5
188,Hyundai Verna 1.6,Hyundai,Delhi,2012,62000.0,Diesel,Manual,First,22.32,1582.0,126.32,5,4.6
189,Hyundai i10 Magna,Hyundai,Kochi,2017,52340.0,Petrol,Manual,First,19.81,1086.0,68.05,5,4.04
190,Mahindra Scorpio 1.99,Mahindra,Kochi,2016,56739.0,Diesel,Manual,First,15.4,1997.0,120.0,7,10.31
191,Land Rover Range,Land,Coimbatore,2018,36091.0,Diesel,Automatic,First,12.7,2179.0,187.7,5,55.76
192,Ford Figo Diesel,Ford,Chennai,2010,120000.0,Diesel,Manual,First,20.0,1399.0,68.0,5,2.6
193,Maruti Ertiga ZDI,Maruti,Mumbai,2016,33000.0,Diesel,Manual,First,25.47,1248.0,88.5,7,8.5
194,Honda City 1.5,Honda,Ahmedabad,2007,60006.0,Petrol,Manual,First,0.0,1200.0,88.0,5,2.95
195,Honda Amaze S,Honda,Kolkata,2014,52000.0,Diesel,Manual,First,25.8,1498.0,98.6,5,3.5
196,Hyundai i10 Magna,Hyundai,Jaipur,2015,43571.0,Petrol,Manual,First,20.36,1197.0,78.9,5,3.55
197,Honda Amaze S,Honda,Kolkata,2013,50000.0,Diesel,Manual,First,25.8,1498.0,98.6,5,3.25
198,Skoda Laura Ambiente,Skoda,Hyderabad,2008,113000.0,Diesel,Manual,First,17.5,1896.0,106.0,5,4.5
199,Renault Duster 85PS,Renault,Delhi,2014,90000.0,Diesel,Manual,First,19.87,1461.0,83.8,5,5.35
200,Mahindra NuvoSport N6,Mahindra,Chennai,2017,29000.0,Diesel,Manual,Second,17.45,1493.0,100.0,7,6.5
201,Maruti Vitara Brezza,Maruti,Mumbai,2016,20000.0,Diesel,Manual,First,24.3,1248.0,88.5,5,9.0
202,Hyundai i20 Asta,Hyundai,Kochi,2016,61012.0,Petrol,Manual,First,18.6,1197.0,81.83,5,6.0
203,Skoda Fabia 1.4,Skoda,Jaipur,2009,87459.0,Petrol,Manual,First,14.7,1390.0,85.0,5,2.75
204,Tata Indigo eCS,Tata,Pune,2010,70500.0,Petrol,Manual,First,15.64,1193.0,64.1,5,1.5
205,Audi Q3 2012-2015,Audi,Delhi,2015,64103.0,Diesel,Automatic,First,15.73,1968.0,174.33,5,19.9
206,Skoda Octavia Elegance,Skoda,Mumbai,2014,76000.0,Petrol,Automatic,First,14.7,1798.0,177.5,5,10.0
207,Toyota Etios Liva,Toyota,Delhi,2014,104000.0,Diesel,Manual,First,23.59,1364.0,67.06,5,3.0
208,Maruti Swift 1.3,Maruti,Kolkata,2010,42001.0,Petrol,Manual,First,16.1,1220.0,70.0,4,2.11
209,Mercedes-Benz B Class,Mercedes-Benz,Kochi,2014,37245.0,Petrol,Automatic,First,14.8,1595.0,120.7,5,11.96
210,Honda Amaze S,Honda,Kolkata,2013,45000.0,Diesel,Manual,First,27.4,1498.0,98.6,5,3.25
211,Hyundai Verna 1.6,Hyundai,Jaipur,2012,117837.0,Diesel,Manual,Second,22.32,1582.0,126.32,5,4.75
212,Renault Duster 85PS,Renault,Mumbai,2014,30000.0,Diesel,Manual,First,20.46,1461.0,83.8,5,5.95
213,Hyundai Creta 1.6,Hyundai,Delhi,2015,27057.0,Petrol,Manual,Second,15.29,1591.0,121.3,5,8.15
214,Maruti Wagon R,Maruti,Mumbai,2016,8500.0,Petrol,Automatic,First,20.51,998.0,67.0,5,4.22
215,Mercedes-Benz New C-Class,Mercedes-Benz,Kolkata,2010,30500.0,Petrol,Automatic,First,11.74,1796.0,186.0,5,10.5
216,Audi A8 L,Audi,Delhi,2012,56000.0,Diesel,Automatic,First,11.8,2967.0,246.7,5,45.0
217,Hyundai i10 Magna,Hyundai,Pune,2012,44000.0,Petrol,Manual,Second,19.81,1086.0,68.05,5,2.9
